sample,Adapter Content,Basic Statistics,Overrepresented sequences,Per base N content,Per base sequence content,Per base sequence quality,Per sequence GC content,Per sequence quality scores,Per tile sequence quality,Sequence Duplication Levels,Sequence Length Distribution
SRR2584863_1,WARN,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,PASS,PASS
SRR2584863_2,WARN,PASS,PASS,PASS,FAIL,FAIL,WARN,PASS,FAIL,PASS,PASS
SRR2584866_1,FAIL,PASS,PASS,PASS,FAIL,FAIL,WARN,PASS,WARN,WARN,PASS
SRR2584866_2,FAIL,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,PASS
SRR2589044_1,FAIL,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,PASS,PASS
SRR2589044_2,FAIL,PASS,PASS,PASS,FAIL,FAIL,WARN,PASS,FAIL,PASS,PASS
