Model,Accuracy,Precision,Recall,F1,ROC_AUC,Average_Precision
Logistic Regression,0.8819444444444444,0.9881656804733728,0.7731481481481481,0.8675324675324675,0.9708504801097393,0.9768360264405249
Random Forest,0.9328703703703703,0.9895287958115183,0.875,0.9287469287469288,0.9803455075445816,0.9851776683887324
